Name,Country,Year,LinkedIn_Profile
Jazmin Chavarri,Peru,2024,
Vebjørn Holm-Gjerde,Norway,2024,
Bas Capel,Netherlands,2024,
Nursoltan Khavalbolot,Mongolia,2024,
Mateo Iván Latapi Acosta,Mexico,2024,
Pierre Akin Dürrüoglu,Belgium,2024,
Adnan Osmić,Bosnia and Herzegovina,2024,
Ben Robinson,Indonesia,2024,
Filippos Athos Chatzichristofi,Cyprus,2024,
Leia Mayssa Masyerin,Malaysia,2024,
Daryl Lee Ker Ru,Malaysia,2024,
Khalid Khan,Luxembourg,2024,
Augustas Kurlavičius,Lithuania,2024,
Rugilė Dzindzalietaitė,Lithuania,2024,
Hayim David Shamir,Israel,2024,
Yotam Budnik,Israel,2024,
Hatem Muqdad Mawlood Al-Ani,Iraq,2024,
Raymond Christopher Tanto,Indonesia,2024,
Dionysios Petrakis,Greece,2024,
Johannes Raitz von Frentz,Germany,2024,
Mirza Shanidze,Georgia,2024,
Maia Reffs Vistisen,Denmark,2024,
Veronika Menšíková,Czech Republic,2024,
Pavel Hyánek,Czech Republic,2024,
Ryusuke Iijima,Japan,2024,
Lincoln Liu,Hong Kong,2024,
Adriāns Piliksers,Latvia,2024,
Jose Rojas,Peru,2024,
David Strømme Eikeland,Norway,2024,
Min Heng Tan,Malaysia,2024,
Kwong Weng Loh,Malaysia,2024,
Matilde Iannaccone,Italy,2024,
Ali Muqdad Mawlood Al-Ani,Iraq,2024,
Sokratis Iliadis,Greece,2024,
Alberto Lobo-Guerrero,Colombia,2024,
Boris Gachevski,Bulgaria,2024,
Levi Magalhães Pereira Castello Branco,Brazil,2024,
Mikaeel Shah,United Kingdom,2024,
Hamza Allaberdiyev,Turkmenistan,2024,
Erik Hedin,Sweden,2024,
Maxim Dudik,Spain,2024,
Samuel Vargovčík,Slovakia,2024,
José Andrés Zamora Moncada,Mexico,2024,
Ivar Lee Fevang,Norway,2024,
Aida Mitroi,Romania,2024,
Ioannis Galamatis,Greece,2024,
Mashrafdzhon Inomov,Tajikistan,2024,
Leonard Kerem Kottisch,Germany,2024,
Serge Bidallier,France,2024,
Zhongyi Li,Finland,2024,
Jurica Špoljar,Croatia,2024,
Adrian Grbac Lacković,Croatia,2024,
Gabriel Santiago,Colombia,2024,
Luis André Villan Gabriel,Bolivia,2024,
Matsvei Areshchanka,Belarus,2024,
S M A Nahian,Bangladesh,2024,
Sevinj Mahmudova,Azerbaijan,2024,
Cloris Xu,Australia,2024,
Aghasi Darbinyan,Armenia,2024,
Emiliano Sosa,Argentina,2024,
Sirio Dafa,Albania,2024,
Mohamed Yassine Chebil,Tunisia,2024,
Marco Aurelio Nogueira D'emidio,Brazil,2024,
João Pedro Bandeira Lemos,Brazil,2024,
Naïm Hofstede,Netherlands,2024,
Chams Eddine Abd El Ali Derreche,Algeria,2024,
Nazar Azizbekovich Kirgizbaev,Kyrgyzstan,2024,
Enrico Zonta,Italy,2024,
Elazar Koren,Israel,2024,
Kevin Adi Senjaya,Indonesia,2024,
Tseren Frantsuzov,C22,2024,
Felipe Makoto Shimamura Silva,Brazil,2024,
Vuk Janković,Bosnia and Herzegovina,2024,
Tien-Hui Lee,Taiwan,2024,
Akram Zakine,Belgium,2024,
Felix Xu,Switzerland,2024,
Matej Bachniček,Slovakia,2024,
Kyungjun Park,Republic of Korea,2024,
Xianbang Wang,People's Republic of China,2024,
Chunji Wang,People's Republic of China,2024,
Zhewen Deng,People's Republic of China,2024,
Siwoo Kim,Japan,2024,
Enerelt Delgerdalai,Mongolia,2024,
Pavel Ciurea,Romania,2024,
Yu-An Cho,Taiwan,2024,
Qiao Zhang,United States of America,2024,
Zhi Xiang Raphael Teng,Singapore,2024,
Stefan Šebez,Serbia,2024,
Andrei Vila,Romania,2024,
Antoni Mazur,Poland,2024,
Sebastian Lozada,Peru,2024,
Renato Gaitan,Peru,2024,
Ryan Staal,Netherlands,2024,
Bilguungerelt Tamir,Mongolia,2024,
Jer Ren Wong,Malaysia,2024,
Margulan Sharel,Kazakhstan,2024,
Amirlan Amanzholov,Kazakhstan,2024,
Alessandro Lombardo,Italy,2024,
Itamar Nir,Israel,2024,
Yung Ho Kwan,Hong Kong,2024,
Mikhail Iugov,C23,2024,
Radin Zahedigolpayegani,Islamic Republic of Iran,2024,
Rushil Mathur,India,2024,
Ábel Szakács,Hungary,2024,
Mehmet Can Baştemir,Türkiye,2024,
Ananda Bhaduri,India,2024,
Matvey Vylegzhanin,Belarus,2024,
Barış Koyuncu,Türkiye,2024,
Paulius Aleknavičius,Lithuania,2024,
Mikhail Raikhman,Belarus,2024,
Jessica Wan,United States of America,2024,https://www.linkedin.com/in/jessica-wan-371759326
Alex Chui,United Kingdom,2024,
Hyeongjoe Chu,Republic of Korea,2024,
Qiming Xu,People's Republic of China,2024,
Adhitya Mangudy Venkata Ganesh,India,2024,
László Bence Simon,Hungary,2024,
Satoshi Kano,Japan,2024,
Alexander Wang,United States of America,2024,https://www.linkedin.com/in/alexjwang
Ivan Chasovskikh,C21,2024,
Haojia Shi,People's Republic of China,2024,
Yihan Yang,Singapore,2024,
Linus Tang,United States of America,2024,
Kyriakos Tsourekas,Greece,2024,
Ivan Korshunau,Belarus,2024,
Davit Kldiashvili,Georgia,2024,
Anatole Bouton,France,2024,
Ratibor Koptilin,C24,2024,
Andrej Krčmar,Bosnia and Herzegovina,2024,
Pavel Tsitou,Belarus,2024,
Xiangyue (Laura) Nan,Australia,2024,
Krishna Pothapragada,United States of America,2024,
Samuel Sturge,United Kingdom,2024,
Konstanty Smolira,Poland,2024,
Damjan Davkov,North Macedonia,2024,
Rogelio Guerrero Reyes,Mexico,2024,
Nadav Dan Tamari,Israel,2024,
Kanav Talwar,India,2024,
Egor Saprunov,C25,2024,
Benjamin Mujkić,Bosnia and Herzegovina,2024,
Juntao Zhang,Singapore,2024,
Sam Griffiths,United Kingdom,2024,
Ilya Zamotorin,C26,2024,
Simone Melis,Italy,2024,
Orestis Lignos,Greece,2024,
Paul Jakob Schmidt,Germany,2024,
Solal Pivron-Djeddi,France,2024,
David Hromádka,Czech Republic,2024,
Theofanis Orfanou,Cyprus,2024,
Fabijan Cikač,Croatia,2024,
Duy Tran,Vietnam,2024,
Elbek Zohidjonov,Uzbekistan,2024,
Tulkin Jaylovov,Uzbekistan,2024,
Haolin Zhao,United Kingdom,2024,
Siraphop Khawplad,Thailand,2024,
Nace Hranjec,Slovenia,2024,
Yaoqi Zhao,Singapore,2024,
Hadi Alaithan,Saudi Arabia,2024,
Hyunwoo Choi,Republic of Korea,2024,
Zi Jie Xu,Hong Kong,2024,
Shinjiro Hamakawa,Japan,2024,
Razzi Hasan Masroor,Pakistan,2024,
Eldar Iskanderov,Kyrgyzstan,2024,
Jan Strehn,Austria,2024,
William Shi,Austria,2024,
Valentin Glatz,Austria,2024,
Minh Hoang Tran,Vietnam,2024,
Daniil Shvaiko,Ukraine,2024,
Suleyman Kochkarov,Turkmenistan,2024,
Patanasang Pinijpichitkul,Thailand,2024,
Krittitee Naulkhao,Thailand,2024,
Lucia Chladná,Slovakia,2024,
Akash Thiagarajan,Singapore,2024,
Novak Despotović,Serbia,2024,
Marius Cerlat,Republic of Moldova,2024,
Stanisław Lada,Poland,2024,
Yuxing Ye,People's Republic of China,2024,
Jay Zhao,New Zealand,2024,
Jerome Austin Te,Philippines,2024,
Ian Bobrus,Kyrgyzstan,2024,
Warren Bei,Canada,2024,
Iliya Yazdanivarzi,Islamic Republic of Iran,2024,
Oscar Fischler,France,2024,
Marin Hristov,Bulgaria,2024,
Martin Bierbaumer,Austria,2024,
Hakan Gökdoğan,Türkiye,2024,
En-Hua Chiang,Taiwan,2024,
David-Andrei Anghel,Romania,2024,
Mateusz Wawrzyniak,Poland,2024,
Tengis Odonbaatar,Mongolia,2024,
Wai Lok Lai,Hong Kong,2024,
Aino Aulanko,Finland,2024,
Felipe Bautista Klir,Argentina,2024,
Jordan Lefkowitz,United States of America,2024,
Drew Michael Terren Ramirez,Singapore,2024,
Yuchan Jung,Republic of Korea,2024,
Youngbeom Jin,Republic of Korea,2024,
Pál Czanik,Hungary,2024,
Takumi Higashida Martínez,Mexico,2024,
Raffaele Botticella,Italy,2024,
Wooju Ham,Republic of Korea,2024,
Sepehr Alipour,Islamic Republic of Iran,2024,
Arjun Gupta,India,2024,
Hok Lai Ng,Hong Kong,2024,
Vera Lavrova,Germany,2024,
Auguste Ramondou,France,2024,
Erik Ježek,Czech Republic,2024,
Marvin Mao,Canada,2024,
Ryan Bai,Canada,2024,
Angel Hristov,Bulgaria,2024,
Bilyana Dimitrova,Bulgaria,2024,
Dominik Pultar,Austria,2024,
William Cheah,Australia,2024,
Isaac King,United Kingdom,2024,
Gvozden Lapčević,Serbia,2024,
Mihailo Jančević,Serbia,2024,
Felix Hamoen,Netherlands,2024,
Harun Alibegović,Bosnia and Herzegovina,2024,
Dawn Chen,New Zealand,2024,
Abel Twiringiyimana,Rwanda,2024,
Zhiyuan Liu,Finland,2024,
Roberto Adum,Ecuador,2024,
Aswin Santhosh Nair,Botswana,2024,
Gastón Daniel Correa Farías,Uruguay,2024,
Saiesh Rampersad,Trinidad and Tobago,2024,
Kalaapan Selvamagesan,Sri Lanka,2024,
Ganganath Kevin Ravindu Bandara Ranatunga,Sri Lanka,2024,
Samuella Kwizera,Rwanda,2024,
Raouf Ould Ali,Algeria,2024,
Edmond Iradukunda,Rwanda,2024,
Wyatt Lazar Wunker,Puerto Rico,2024,
Tomás Prata Vidal,Portugal,2024,
Laura Sofia Muliar,Portugal,2024,
Fernando Daniel Lopez Bobadilla,Paraguay,2024,
Muhammad Mahad Arif,Pakistan,2024,
Shreyash Sharma Bastola,Nepal,2024,
Merkúr Máni Hermannsson,Iceland,2024,
Grigory Barsegov,Ireland,2024,
Kouassi Noah Kevin Ekue,Ivory Coast,2024,
Era Januzi,Kosovo,2024,
Francisco González,Uruguay,2024,
Keagan Sachin Ragoobar,Trinidad and Tobago,2024,
Muhammad Hasnat Farooq,Pakistan,2024,
Sampanna Bhandari,Nepal,2024,
Aung Nyan Zaw,Myanmar,2024,
Damiam David Fuentes Campos,Cuba,2024,
Juan Pablo Hernandez Abarca,Costa Rica,2024,
Anastasios Amvrosiadis,Belgium,2024,
Laetitia Faith Katono,Uganda,2024,
Anne Jemima Akissi N'guessan,Ivory Coast,2024,
Fernando Andreé González Meléndez,El Salvador,2024,
Agustín Miraballes Musto,Uruguay,2024,
Kelvin Miles Kabali David Senteza,Uganda,2024,
Ahmed Mallek,Tunisia,2024,
Eli Max Williams,South Africa,2024,
Hsu Wutt Yee Lin,Myanmar,2024,
Soe Thway Ko,Myanmar,2024,
Wai In Chu,Macau,2024,
Telman Mammadov,Azerbaijan,2024,
Preston Chang Kit,Trinidad and Tobago,2024,
Allayth Shahet,Syria,2024,
Nirvana Rosabella Marrero Tiodang,Puerto Rico,2024,
Torstein Barvik Molstad,Norway,2024,
Aksel Løvholt,Norway,2024,
Soe Lin Htet,Myanmar,2024,
Kiah Shah,Luxembourg,2024,
Orges Ajvazi,Kosovo,2024,
Dinmukhamed Yegeubayev,Kazakhstan,2024,
Sherkhan Torekhanov,Estonia,2024,
Tereza Černá,Czech Republic,2024,
Qiyue Wang,Cyprus,2024,
Philippos Rouvas,Cyprus,2024,
Kyriaki Assou,Cyprus,2024,
Paula Duque,Colombia,2024,
Erik Kërçiku,Albania,2024,
Mehdi Najaf,Azerbaijan,2024,
Dylan Minogue,Ireland,2024,
Thomas Audenaert,Belgium,2024,
Ivane Kobaidze,Georgia,2024,
Martin Peñaherrera,Ecuador,2024,
Enmanuel Starlin Germosén De Los Santos,Dominican Republic,2024,
Albert Ben Carlson,Denmark,2024,
Karla Yisel Ramirez Garcel,Cuba,2024,
Bowen Zhou,Botswana,2024,
Tandin Tshering,Bhutan,2024,
Favour Bwesigye Busingye,Uganda,2024,
Mohamad Austa,Syria,2024,
Antonio Laso González,Spain,2024,
Mohammad Nur Casib,Philippines,2024,
Hei Chit Leong,Macau,2024,
Kristaps Lass,Latvia,2024,
Beatriz Sancho Chaves,Costa Rica,2024,
Nikh Kevin Soto Uzeda,Bolivia,2024,
Wilhelm Gonce,Ecuador,2024,
Excell Kumah Awusi,Ghana,2024,
Hrafnkell Hvanndal Halldórsson,Iceland,2024,
Víctor Humberto Solíz Divensty,Bolivia,2024,
Pema Ugyen Dendup,Bhutan,2024,
Jigme Thinley Choeda,Bhutan,2024,
Luis Fabrizio Meléndez Antidormi,Venezuela,2024,
Guntas Singh,United Arab Emirates,2024,
Elsie Druscilla Nuwamanya,Uganda,2024,
Jasur Mahmudov,Tajikistan,2024,
Nina Ornella Umukundwa,Rwanda,2024,
Fabrizio Matias Castro Gamarra,Paraguay,2024,
Rayan Said Mohammed Al-Hadhrami,Oman,2024,
Jumanah Said Mubarak Said Al Kalbani,Oman,2024,
Tony Rotich Odhiambo,Kenya,2024,
Cynthia Kathomi Mworia,Kenya,2024,
Sie Kouadio Loic Kone,Ivory Coast,2024,
Sebnem Yilmaz,Iraq,2024,
Ihsan Dagdelenli,Iraq,2024,
Pema Wangyal,Bhutan,2024,
Ofentse Gabriel F. Ditlamelo,Botswana,2024,
Naana Ekua Adokua Annan,Ghana,2024,
Prince Obakeng Motswaiso,Botswana,2024,
Haotian Wang,New Zealand,2024,
Ghosoun Rashed Mohamed Rashed Alsereidi,United Arab Emirates,2024,
Khalifa Hamad Khalifa Alhamar Alzaabi,United Arab Emirates,2024,
Mahra Khaled Jumah Alaraj Aldahmani,United Arab Emirates,2024,
Austin Asiimwe,Uganda,2024,
Raghad Zahir Mubarak Al Shekaili,Oman,2024,
Aisha Mohammed Nasser Saif Al Sadi,Oman,2024,
Qutoof Saif Mohsin Salim Al Abri,Oman,2024,
Rahul Bhujel,Nepal,2024,
Kyi Nuu Khant,Myanmar,2024,
Alfred Githui Muriu,Kenya,2024,
Akua Ntiwaa Mensah,Ghana,2024,
Joel Boateng-Yamoah,Ghana,2024,
Adwoa Afriyie Asare Frimpong,Ghana,2024,
Nana Bawuah Addai-Mensah,Ghana,2024,
Jared Fabricio Escobar,Honduras,2024,
Roberto Valverde,Ecuador,2024,
Magnús Thor Holloway,Iceland,2024,
Álfrún Haraldsdóttir,Iceland,2024,
Wilfrin Vizcaíno Peña,Dominican Republic,2024,
Lola Muriel Ruffolo,Argentina,2024,
Asadbek Bobokulov,Uzbekistan,2024,
Aws Dhahri,Tunisia,2024,
Mohamad Fajjal,Syria,2024,
Arnold Bana,Rwanda,2024,
Muhammad Daniyal,Pakistan,2024,
Saugat Dhakal,Nepal,2024,
Drone Chaudhary,Nepal,2024,
Pyae Tshan Oo,Myanmar,2024,
Michèle Voncken,Luxembourg,2024,
Vida Suselj,Luxembourg,2024,
Shpendi Deva,Kosovo,2024,
Gilbert Amani Ongoro,Kenya,2024,
Mouhammad Abder-Raouf Kone,Ivory Coast,2024,
Maryorie Damaris Cabrera Silvas,El Salvador,2024,
Mohamed Habib Baba Traore,Ivory Coast,2024,
Luis Daniel Valdés George,Dominican Republic,2024,
Kouame Christ Elfried Carlos Yao,Ivory Coast,2024,
Johnny Ho Chen,Dominican Republic,2024,
Wanjing Tang,Botswana,2024,
Ashwin Shine,Botswana,2024,
Brittany Celeste Gonzáles Tapia,Bolivia,2024,
Sonam Loday,Bhutan,2024,
Erida Puka,Albania,2024,
Irjan Kuliçi,Albania,2024,
Rafael Trapani Ducloyer,Uruguay,2024,
Raphael Alpha Oyini,Uganda,2024,
Amir Nilesh Mahadeo,Trinidad and Tobago,2024,
Avner Francisco Romero Rodriguez,Puerto Rico,2024,
Osmar Mathías Cabrera Jacquet,Paraguay,2024,
Rabha Ayoub Sulaiman Al Kindi,Oman,2024,
Wai Chong Chan,Macau,2024,
Len Muriungi Mutuma,Kenya,2024,
Tahsin Khan,Bangladesh,2024,
Matias Nova,Chile,2024,
Emiliano Hernández Barranco,Mexico,2024,
Eric Lüscher,Switzerland,2024,
Mohamed Karim Boualleg,Tunisia,2024,
Liam Anthony Pinto,Trinidad and Tobago,2024,
Kiattipoom Sicharoen,Thailand,2024,
Eraj Sabirov,Tajikistan,2024,
Azamat Dushanov,Tajikistan,2024,
Louis Renner,Switzerland,2024,
Hongjia Meng,Switzerland,2024,
Mingdao Zou Zhong,Sweden,2024,
Nikita Baranovs,Latvia,2024,
Praveen Charuka Athauda Arachchi,Sri Lanka,2024,
Dan Manuel Vancea,Spain,2024,
Yian Xu,South Africa,2024,
Žiga Oštir,Slovenia,2024,
Stevan Radivojević,Serbia,2024,
Josue Bautista,Peru,2024,
Jos Winkin,Luxembourg,2024,
Oussema Soussi,Tunisia,2024,
Arman Ahmetov,Turkmenistan,2024,
Mykhailo Sydorenko,Ukraine,2024,
Ted Qamo,Albania,2024,
Tianci Yan,Ireland,2024,
Zongwen Wu,Ireland,2024,
Yousif Wameedh Ghassan Algharani,Iraq,2024,
Timothy William Koesasih,Indonesia,2024,
Maulana Satya Adigama,Indonesia,2024,
Erik Desurmont,France,2024,
Gianmarco Sangiovanni Castellanos,Dominican Republic,2024,
Emil Alejandro Peralta Cabrera,Dominican Republic,2024,
Holger Endel Rønn,Denmark,2024,
Ricardo Miguel Molano Dominguez,Cuba,2024,
Ailema Matos Rodríguez,Cuba,2024,
Ián David Lorenzo García,Cuba,2024,
Martin Ruiz-Tagle,Chile,2024,
Ahmed Adnane Meddah,Algeria,2024,
Abdelilah Hammadi,Algeria,2024,
Chuhan Li,Latvia,2024,
Parnia Dabbagh,Islamic Republic of Iran,2024,
Owen Barron,Ireland,2024,
Mahmoud Mohamad Asad,Syria,2024,
Thirukkumaran Theiventhiran,Sri Lanka,2024,
Batugahage Don Lasitha Vishwajith Jayasinghe,Sri Lanka,2024,
Javier Badesa Pérez,Spain,2024,
Eliška Macáková,Slovakia,2024,
Martin Cigler,Slovakia,2024,
Strahinja Svrzić,Serbia,2024,
Ahmed Alshehri,Saudi Arabia,2024,
Alin Popescu,Republic of Moldova,2024,
Tomás Faria,Portugal,2024,
Filbert Ephraim Wu,Philippines,2024,
Jordan Juarez,Peru,2024,
Muhammad Ahmad Bhatti,Pakistan,2024,
Aleksij Tasikj,North Macedonia,2024,
Kian Abolghasemi,Algeria,2024,
Isaac Dahir Rodríguez Gutiérrez,Nicaragua,2024,
Jiachen Mi,Sweden,2024,
Selim Halykov,Turkmenistan,2024,
Siddharth Choppara,India,2024,
Oles Hordiichuk,Ukraine,2024,
Luka Tsulaia,Georgia,2024,
Bronislav Shatil,Estonia,2024,
Andreas Arnfred Nielsen,Denmark,2024,
Thor Julius Lanzky Mortensen,Denmark,2024,
Anastasia Bredichina,Czech Republic,2024,
Marcel Gámez Salvó,Cuba,2024,
Emil Missoni,Croatia,2024,
Gabriel Najmias Lang,Costa Rica,2024,
Luiscarlos De Jesus Hernandez Hernandez,Costa Rica,2024,
Mateo Lizcano,Colombia,2024,
Felipe Caicedo,Colombia,2024,
Victor Kostadinov,Bulgaria,2024,
Jitendra Barua,Bangladesh,2024,
Alex Qiu,Australia,2024,
Pavlo Protsenko,Ukraine,2024,
Naoto Wakasugi,Japan,2024,
Tobías Joaquín Rodríguez Albera,Uruguay,2024,
Said Bakirov,Azerbaijan,2024,
Sultan Musakhodzhaev,Kyrgyzstan,2024,
Ibrahim Karimli,Azerbaijan,2024,
Leonhard Hasler,Liechtenstein,2024,
Uriel Digestani,Argentina,2024,
Jamarbër Rushitaj,Albania,2024,
Laura Șestacov,Republic of Moldova,2024,
Kritesh Dhakal,Nepal,2024,
Kin Nam Lao,Macau,2024,
Fionn Kimber O'shea,Ireland,2024,
Rudolf Kusý,Slovakia,2024,
Ragna María Sverrisdóttir,Iceland,2024,
Mirhabib Asgarov,Azerbaijan,2024,
Mohamed Ikbal Tebib,Algeria,2024,
Duc Anh Ta,Vietnam,2024,
Maksat Babageldiyev,Turkmenistan,2024,
Manuel Eymar Carballo,Spain,2024,
Youkyum Kim,South Africa,2024,
Md Nafis Noor Taseen,Bangladesh,2024,
Jonas Boeykens,Belgium,2024,
Ricardo Loayza,Ecuador,2024,
Enrique Adonay Hernández Rafaelano,El Salvador,2024,
Chedi Hammami,Tunisia,2024,
Farkhod Sokhibnazarov,Tajikistan,2024,
Jovian Soejono,Switzerland,2024,
Pathirannehelage Luchitha Disal Pathirana,Sri Lanka,2024,
Carlos Villagordo Espinosa,Spain,2024,
Patricia Király,Slovenia,2024,
Alex George Soutter Ibáñez,Paraguay,2024,
Kaiqi Wan,Panama,2024,
Hashir Naimat,Pakistan,2024,
Armands Tidriķis,Latvia,2024,
Haris Shaqiri,Kosovo,2024,
Ajan Hajrullahu,Kosovo,2024,
Edi Berisha,Kosovo,2024,
Valur Einar Georgsson,Iceland,2024,
Artúr Nádor,Finland,2024,
Matic Pogorelec,Slovenia,2024,
Amber Li,Australia,2024,
Ervin Joshua Bautista,Philippines,2024,
Matias Bohorquez,Colombia,2024,
Mikayel Galstyan,Armenia,2024,
Florencia Sapriza Marques,Uruguay,2024,
Siravit Hengsuvanich,Thailand,2024,
Mohamad Mouzahem,Syria,2024,
Shafik Bara,Syria,2024,
Believer Gall Hirwa,Rwanda,2024,
Xingyu Zhu,Portugal,2024,
Miguel Sousa Domingos,Portugal,2024,
Magnus Flydal Jenstad,Norway,2024,
Branko Jangelovski,North Macedonia,2024,
Cheng Long Leong,Macau,2024,
Song Pok Hong,Macau,2024,
Louise Bernier,Luxembourg,2024,
Laurynas Truskauskas,Lithuania,2024,
Jovilė Navickaitė,Lithuania,2024,
Xuezhi Wang,Canada,2024,
Nives Gošnjak,Slovenia,2024,
Aleksei Jemeljanov,Estonia,2024,
Mohammad Alghamdi,Saudi Arabia,2024,
Nikola Cvetanoski,North Macedonia,2024,
Yanniek Nitescu,Netherlands,2024,
Albert Henriksson,Finland,2024,
Vahur Paist,Estonia,2024,
Musahid Ahmed,Bangladesh,2024,
Raphael Heuchl,Austria,2024,
Jacob Brzezinski Ädelroth,Sweden,2024,
Juan José Martínez Barreto,Venezuela,2024,
Mihai Eșanu,Republic of Moldova,2024,
Rafael Soares Marques,Portugal,2024,
Ivano Bozhinovski,North Macedonia,2024,
Nursultan Eshperov,Kyrgyzstan,2024,
Siiri Roschier,Finland,2024,
Luis Eduardo Martínez Aguirre,Mexico,2023,
Bufan Zhao,New Zealand,2023,
Saikhanbileg Tsogtgerel,Mongolia,2023,
Iveel Arvis,Mongolia,2023,
Leonard  Kottisch,Germany,2023,
Denis Tusca,Italy,2023,
Csilla Fülöp,Hungary,2023,
Chong Ho Hsieh,Hong Kong,2023,
Florian Elbrandt,Germany,2023,
Gaëtan Dautzenberg,France,2023,
Rafael Martim Tavares Inácio,Portugal,2023,
Matija Skrt,Slovenia,2023,
Daniel Pham Nguyen,Denmark,2023,
Carlo Baronio,Italy,2023,
Yotam Amir,Israel,2023,
Evelyn Lianto,Indonesia,2023,
Adhitya  Mangudy Venkata Ganesh,India,2023,
Štěpán Mikéska,Czech Republic,2023,
Emanuel Tukač,Croatia,2023,
Darío Martínez Ramírez,Spain,2023,
Bozhidar Dimitrov,Bulgaria,2023,
Sida Li,United Kingdom,2023,
Adem Bizid,Tunisia,2023,
Po-Shen Chang,Taiwan,2023,
Mouhammad Ali Hourieh,Syria,2023,
Bora Olmez,Switzerland,2023,
Charles Dai,France,2023,
Luna Skjernaa Mygind,Denmark,2023,
Keisuke Koide,Japan,2023,
Pouria Rahmani,Islamic Republic of Iran,2023,
Rizky Rajendra Ananta Dewa,Indonesia,2023,
Márton Lovas,Hungary,2023,
Samuel Rosiar,Czech Republic,2023,
Prodromos Fotiadis,Greece,2023,
Tornike Beria,Georgia,2023,
Hylke Hoogeveen,Netherlands,2023,
Aleksei Ganyukov,Estonia,2023,
Batyrkhan  Sakenov,Kazakhstan,2023,
Daan de Groot,Netherlands,2023,
Mads Kok,Netherlands,2023,
Al Waqas Mahmood Mohammed Al Khadhuri,Oman,2023,
Ervin Macić,Bosnia and Herzegovina,2023,
